                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0087,                0.71124,                 1.0917,                 0.9195,                0.88098,                0.93753,                0.61939,                 1.0737,                0.68517,                 1.1563,             0.00034895,             0.00034895,             0.00034895
                     36,                  1.013,                0.72491,                 1.1013,                0.94266,                0.88278,                0.95463,                0.63168,                 1.0768,                0.61671,                 1.1429,             0.00034374,             0.00034374,             0.00034374
                     37,                0.94464,                0.65725,                 1.0695,                0.88418,                0.90099,                0.92707,                0.63132,                 1.0755,                0.64918,                 1.1535,             0.00033853,             0.00033853,             0.00033853
                     38,                0.95988,                0.65741,                  1.063,                0.89057,                0.90684,                0.92323,                 0.6141,                 1.0852,                0.62922,                 1.1507,             0.00033333,             0.00033333,             0.00033333
                     39,                0.93856,                0.64949,                  1.071,                0.89498,                0.93015,                0.94607,                0.65008,                0.99508,                 0.6184,                 1.1156,             0.00032812,             0.00032812,             0.00032812
                     40,                0.98751,                0.69453,                 1.0907,                0.91815,                0.87444,                0.95479,                0.64619,                 1.0071,                0.61566,                  1.111,             0.00032291,             0.00032291,             0.00032291
                     41,                0.94735,                0.65556,                 1.0619,                0.88037,                0.90305,                 0.9484,                0.62954,                 1.0247,                0.60064,                 1.1266,              0.0003177,              0.0003177,              0.0003177
                     42,                0.95368,                0.64142,                 1.0723,                0.89976,                0.94453,                0.96108,                0.65811,                0.99169,                0.58706,                 1.1032,              0.0003125,              0.0003125,              0.0003125
                     43,                0.94237,                0.64735,                 1.0588,                0.93301,                0.88314,                0.95362,                0.65176,                 1.0139,                0.58717,                 1.1244,             0.00030729,             0.00030729,             0.00030729
                     44,                 0.9396,                 0.6375,                 1.0608,                0.93065,                0.88728,                0.95599,                0.65761,                0.98181,                0.59032,                 1.1181,             0.00030208,             0.00030208,             0.00030208
                     45,                0.90658,                  0.629,                 1.0484,                0.93889,                0.88465,                 0.9521,                0.65813,                 1.0055,                0.59766,                 1.1244,             0.00029687,             0.00029687,             0.00029687
                     46,                0.88458,                0.61574,                   1.04,                 0.8668,                0.92307,                0.93797,                0.65285,                0.96762,                0.57219,                 1.1121,             0.00029167,             0.00029167,             0.00029167
                     47,                0.90197,                0.62983,                 1.0468,                0.91278,                 0.9191,                0.94197,                0.65007,                 1.0321,                0.58875,                 1.1474,             0.00028646,             0.00028646,             0.00028646
                     48,                0.88804,                0.61073,                 1.0284,                0.91932,                0.87819,                0.94134,                0.66225,                0.98281,                 0.5743,                 1.1027,             0.00028125,             0.00028125,             0.00028125
                     49,                0.89016,                0.61459,                 1.0452,                0.89005,                0.92906,                0.94985,                0.66058,                0.99652,                 0.5948,                 1.1048,             0.00027604,             0.00027604,             0.00027604
                     50,                0.89345,                0.60545,                 1.0512,                0.91384,                0.88776,                0.93747,                0.64905,                0.98125,                0.60636,                 1.1001,             0.00027084,             0.00027084,             0.00027084
                     51,                0.88573,                0.59558,                 1.0353,                0.94053,                0.87599,                0.95222,                0.66724,                0.98509,                0.56708,                 1.1028,             0.00026563,             0.00026563,             0.00026563
                     52,                0.85946,                0.57332,                 1.0232,                0.91295,                0.92633,                0.94985,                0.66512,                0.99378,                0.56241,                 1.1112,             0.00026042,             0.00026042,             0.00026042
                     53,                0.83752,                0.56036,                 1.0128,                0.92272,                0.92142,                0.95033,                0.66535,                0.98575,                0.54943,                 1.1208,             0.00025522,             0.00025522,             0.00025522
                     54,                0.82097,                0.55395,                 1.0038,                0.91193,                0.93695,                0.96058,                0.66143,                0.99056,                0.55331,                 1.1144,             0.00025001,             0.00025001,             0.00025001
                     55,                0.88755,                0.57335,                 1.0348,                0.92354,                0.92434,                0.95662,                 0.6508,                 1.0123,                0.58048,                 1.1246,              0.0002448,              0.0002448,              0.0002448
                     56,                0.84477,                0.56485,                 1.0263,                0.92274,                0.92699,                 0.9593,                0.67525,                0.98916,                0.54641,                 1.1077,             0.00023959,             0.00023959,             0.00023959
                     57,                0.83651,                0.56356,                 1.0109,                0.90304,                0.91217,                0.95018,                0.66667,                0.94057,                0.55977,                 1.0791,             0.00023439,             0.00023439,             0.00023439
                     58,                0.81804,                0.54475,                0.99514,                 0.9207,                0.91144,                0.95533,                0.67105,                0.93457,                0.55473,                 1.0937,             0.00022918,             0.00022918,             0.00022918
                     59,                0.83479,                0.55135,                  1.022,                0.94458,                0.89759,                0.95538,                0.67077,                0.96705,                0.52631,                 1.0934,             0.00022397,             0.00022397,             0.00022397
                     60,                0.82576,                0.54997,                 1.0106,                0.89415,                0.93941,                0.95077,                0.66747,                0.93429,                0.53317,                 1.0903,             0.00021876,             0.00021876,             0.00021876
                     61,                0.80508,                0.52077,                0.99199,                0.88553,                0.92972,                0.95786,                0.68181,                0.92969,                0.53161,                 1.0639,             0.00021356,             0.00021356,             0.00021356
                     62,                0.79343,                0.52713,                0.99342,                0.88431,                0.93949,                0.95909,                0.68131,                0.91331,                0.52171,                 1.0622,             0.00020835,             0.00020835,             0.00020835
                     63,                0.78562,                0.54561,                0.99828,                0.94084,                0.93478,                0.96934,                0.68503,                0.92356,                0.51961,                 1.0829,             0.00020314,             0.00020314,             0.00020314
                     64,                0.78598,                0.52934,                0.99223,                 0.9272,                0.93169,                0.97085,                0.68405,                0.91642,                0.51996,                 1.0761,             0.00019793,             0.00019793,             0.00019793
                     65,                0.79077,                0.52891,                0.99889,                0.95013,                0.90662,                0.96311,                0.66742,                 0.9598,                0.51023,                   1.09,             0.00019273,             0.00019273,             0.00019273
                     66,                 0.7755,                0.51496,                0.99725,                0.92101,                0.90057,                0.94857,                0.67442,                0.96173,                 0.5274,                 1.0871,             0.00018752,             0.00018752,             0.00018752
                     67,                0.76535,                0.50946,                0.98738,                0.92707,                0.89634,                0.95321,                0.66929,                0.92437,                0.51588,                 1.0889,             0.00018231,             0.00018231,             0.00018231
                     68,                0.74034,                0.48981,                0.95533,                0.93802,                0.91231,                0.96083,                0.67556,                0.94231,                0.50852,                 1.0948,              0.0001771,              0.0001771,              0.0001771
                     69,                0.78423,                0.51767,                0.98702,                0.93078,                0.90226,                0.96567,                0.69169,                0.89534,                0.49057,                 1.0758,              0.0001719,              0.0001719,              0.0001719
                     70,                0.75213,                0.51493,                0.97446,                0.90259,                0.92382,                0.96059,                0.68536,                0.89948,                0.50306,                 1.0749,             0.00016669,             0.00016669,             0.00016669
                     71,                 0.7489,                0.48594,                0.97452,                0.91232,                0.93291,                0.96008,                0.68788,                0.89984,                0.50601,                  1.066,             0.00016148,             0.00016148,             0.00016148
